Player Name,Team,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
M. Alkuwari,QAT,1,0,0,0.33
Bobby,QAT,1,0,4,0.33
Štalekar,SLO,1,0,1,0.33
Najdič,SLO,1,0,0,0.33
Banda,CHI,1,1,0,0.33
Komenda,POL,1,0,1,0.33
Jakubiszak,POL,1,0,0,0.33
Nowak J.,POL,1,0,1,0.33
Dumitru,ROU,1,1,1,0.33
Sanchez Pages,ARG,1,0,0,0.50
Gomez,ARG,1,3,1,0.50
Saadat,IRI,1,1,1,0.50
Daneshdoust,IRI,1,1,1,0.50
Yasso,EGY,1,0,0,0.50
Azab,EGY,1,0,0,0.50
Fafchamps,BEL,1,1,1,0.50
Mašulović N.,SRB,1,1,1,0.50
Taekeui,KOR,1,0,0,0.50
Fernando,BRA,1,0,0,0.50
Yu Y.T.,CHN,1,0,1,0.50
Ji D.S.,CHN,1,1,3,0.50
Galassi,ITA,1,0,1,0.50
Porro L.,ITA,1,1,1,0.50
Ybanez,PHI,0,0,0,0
Lorenzo,PHI,0,0,0,0
Kalingking,PHI,0,0,0,0
Adajar,PHI,0,0,0,0
Ramirez,PHI,0,0,0,0
Buddin,PHI,0,0,0,0
Boussabah.A,TUN,0,0,0,0
Bouaziz. A,TUN,0,0,2,0.00
Hfaiedh H.,TUN,0,1,1,0.00
Nagga H.,TUN,0,0,0,0
Baccour.W,TUN,0,0,0,0
Ridene.M,TUN,0,0,0,0
Ben Taher.M,TUN,0,0,1,0.00
Korbosli T,TUN,0,0,0,0
Dagostino,USA,0,0,0,0
Averill,USA,0,0,0,0
Shoji,USA,0,0,0,0
Roosvuelt,COL,0,0,0,0
Ruiz,COL,0,0,0,0
Caicedo,COL,0,0,0,0
larrahondo,COL,0,0,0,0
Herr,CAN,0,0,0,0
J. Elser,CAN,0,0,0,0
Elgert,CAN,0,0,0,0
Schnitzer,CAN,0,0,0,0
Lui,CAN,0,0,0,0
Currie,CAN,0,0,0,0
jnefa,LBA,0,0,3,0.00
Abdelmalek,LBA,0,0,0,0
Almarrug,LBA,0,0,0,0
Alashlam,LBA,0,0,1,0.00
Zakka Ragab Tarek,LBA,0,0,0,0
M. Alajeeli,LBA,0,2,1,0.00
Garcia,CUB,0,0,0,0
Bisset,CUB,0,2,4,0.00
Camino,CUB,0,0,0,0
Alonso,CUB,0,0,0,0
J. Gutierrez,CUB,0,0,0,0
Alex,POR,0,0,0,0
Ivo Casas,POR,0,0,0,0
Goncalo,POR,0,0,0,0
Menezes,POR,0,0,0,0
Oya,JPN,0,1,1,0.00
Ogawa,JPN,0,0,0,0
Kai,JPN,0,1,0,0.00
Nishimoto,JPN,0,0,1,0.00
Yamamoto,JPN,0,0,0,0
Eiro,JPN,0,0,0,0
Hatipoğlu,TUR,0,0,0,0
B. Bayraktar,TUR,0,0,0,0
Muhammed K.,TUR,0,0,0,0
Can Koç,TUR,0,0,0,0
Kaplan,TUR,0,0,0,0
Graven,GER,0,0,0,0
Peter,GER,0,0,0,0
Krage,GER,0,0,0,0
Burggräf,GER,0,0,0,0
Mohwinkel,GER,0,0,0,0
Nachev,BUL,0,0,0,0
Zhelev,BUL,0,0,0,0
Palev,BUL,0,0,0,0
Dobrev,BUL,0,0,0,0
D. Kolev,BUL,0,0,0,0
Keemink,NED,0,0,0,0
Meijs,NED,0,0,4,0.00
Jorna,NED,0,0,0,0
Klok,NED,0,0,0,0
Wijkstra,NED,0,1,0,0.00
Sulaiman,QAT,0,0,0,0
Naji,QAT,0,0,0,0
Mahdi,QAT,0,0,0,0
Okroglič,SLO,0,0,0,0
Kovačič,SLO,0,0,0,0
Urnaut,SLO,0,0,0,0
Kržič,SLO,0,0,0,0
Araya,CHI,0,0,2,0.00
Albornoz,CHI,0,0,0,0
Castillo,CHI,0,0,0,0
Bravo,CHI,0,0,0,0
Popiwczak,POL,0,0,0,0
Granieczny,POL,0,0,0,0
Firlej,POL,0,0,0,0
Constantin,ROU,0,0,0,0
Kosinski,ROU,0,0,0,0
Butnaru,ROU,0,0,0,0
Kantor,ROU,0,0,0,0
Danani,ARG,0,0,0,0
Armoa Morel,ARG,0,0,0,0
Luengas,ARG,0,0,0,0
Giraudo,ARG,0,0,0,0
Tervaportti,FIN,0,0,0,0
Köykkä,FIN,0,0,0,0
Haapaniemi,FIN,0,1,4,0.00
Breilin,FIN,0,0,0,0
Kaunisto,FIN,0,0,0,0
Hazrat,IRI,0,0,0,0
Esfandiar,IRI,0,0,0,0
A. Ramezani,IRI,0,0,0,0
Arshia,IRI,0,0,0,0
Arman,IRI,0,0,0,0
M. Reda,EGY,0,0,0,0
M. Ramadan,EGY,0,0,0,0
Asran,EGY,0,0,0,0
A.Ellakany,EGY,0,0,0,0
Synytsia,UKR,0,0,1,0.00
Shchytkov,UKR,0,0,0,0
Boiko,UKR,0,0,0,0
Kisiliuk,UKR,0,0,0,0
Pampushko,UKR,0,0,0,0
Todua,UKR,0,0,0,0
Uryvkin,UKR,0,0,0,0
Koval,UKR,0,0,0,0
D'Hulst,BEL,0,1,0,0.00
Plaskie,BEL,0,0,0,0
Desmet,BEL,0,0,0,0
V. Hoyweghen,BEL,0,0,0,0
Verwimp K.,BEL,0,0,0,0
Dermaux,BEL,0,0,0,0
Lantsoght,BEL,0,0,0,0
Perin,BEL,0,0,0,0
Nikolić,SRB,0,0,0,0
Negic,SRB,0,0,0,0
Mašulović V.,SRB,0,0,0,0
Ivović,SRB,0,0,0,0
Gajović,SRB,0,0,0,0
Todorović,SRB,0,0,0,0
Brborić,SRB,0,0,0,0
Drahonovsky,CZE,0,0,0,0
Monik,CZE,0,0,0,0
Licek,CZE,0,1,0,0.00
Srb,CZE,0,0,0,0
Kovarik,CZE,0,0,0,0
Polak,CZE,0,0,0,0
Benda,CZE,0,0,0,0
Grebennikov,FRA,0,0,0,0
Toniutti,FRA,0,0,0,0
Brizard,FRA,0,1,3,0.00
Diez,FRA,0,0,0,0
