Player Name,Team,Position,Age,Height
Nishimoto,JPN,MIDDLE BLOCKER,26,188cm
Fernando,BRA,SETTER,29,186cm
Nishiyama,JPN,OPPOSITE SPIKER,22,193cm
Le Goff,FRA,MIDDLE BLOCKER,33,206cm
Zhai D.J.,CHN,OUTSIDE HITTER,25,195cm
Böhme,GER,OPPOSITE SPIKER,28,203cm
Rao S.H.,CHN,MIDDLE BLOCKER,28,205cm
Perić,SRB,OUTSIDE HITTER,27,207cm
Pasteur,USA,OUTSIDE HITTER,23,193cm
Bayram,TUR,OUTSIDE HITTER,23,194cm
Petkov,BUL,MIDDLE BLOCKER,21,207cm
Flexen,USA,OUTSIDE HITTER,23,204cm
Chinenyeze,FRA,MIDDLE BLOCKER,27,204cm
Peter,GER,OUTSIDE HITTER,28,197cm
Schnitzer,CAN,MIDDLE BLOCKER,26,198cm
Bisset,CUB,OPPOSITE SPIKER,30,200cm
Armoa Morel,ARG,OUTSIDE HITTER,22,195cm
Onodera,JPN,MIDDLE BLOCKER,29,200cm
Murayama,JPN,MIDDLE BLOCKER,27,192cm
Haghparast,IRI,OUTSIDE HITTER,20,198cm
Bovolenta,ITA,OPPOSITE SPIKER,21,202cm
Yenipazar,TUR,SETTER,32,194cm
Yousef,IRI,MIDDLE BLOCKER,22,207cm
Mergarejo,CUB,OUTSIDE HITTER,27,196cm
Martinez Gion,NED,OUTSIDE HITTER,35,197cm
Lima B.,ARG,OPPOSITE SPIKER,29,198cm
Canham,CAN,OPPOSITE SPIKER,25,194cm
Koval,UKR,MIDDLE BLOCKER,26,198cm
Śliwka,POL,OUTSIDE HITTER,30,196cm
Adriano,BRA,OUTSIDE HITTER,23,201cm
Bołądź,POL,OPPOSITE SPIKER,30,204cm
Keemink,NED,SETTER,32,197cm
Kržič,SLO,MIDDLE BLOCKER,22,202cm
Komenda,POL,SETTER,29,198cm
Ma'a,USA,SETTER,28,192cm
Kunstmann,GER,MIDDLE BLOCKER,22,201cm
Adamczyk,POL,MIDDLE BLOCKER,26,208cm
Korenblek,NED,MIDDLE BLOCKER,23,215cm
Keihan,JPN,OPPOSITE SPIKER,21,193cm
Shchytkov,UKR,SETTER,33,186cm
Zimmermann,GER,SETTER,32,190cm
Planinšič,SLO,SETTER,27,186cm
Yu Y.C.,CHN,SETTER,30,195cm
Marovt,SLO,OUTSIDE HITTER,20,192cm
Thondike,CUB,SETTER,24,190cm
D. Dimitrov,BUL,OPPOSITE SPIKER,24,208cm
Nasevich,POL,OPPOSITE SPIKER,22,200cm
Todorović,SRB,SETTER,27,190cm
J. Elser,CAN,OUTSIDE HITTER,26,204cm
Stefanović,SRB,MIDDLE BLOCKER,26,200cm
Howe,CAN,MIDDLE BLOCKER,27,198cm
Bednorz,POL,OUTSIDE HITTER,31,201cm
Yüksel,TUR,OUTSIDE HITTER,21,204cm
Georgiev,BUL,MIDDLE BLOCKER,30,206cm
Duflos Rossi,FRA,OUTSIDE HITTER,18,198cm
Arshia,IRI,SETTER,22,194cm
Kisiliuk,UKR,OUTSIDE HITTER,30,197cm
Elgert,CAN,SETTER,27,191cm
Synytsia,UKR,SETTER,32,194cm
Thiery,BRA,MIDDLE BLOCKER,22,204cm
Chizoba,BRA,OPPOSITE SPIKER,28,200cm
Matin,IRI,MIDDLE BLOCKER,24,201cm
Eiro,JPN,SETTER,29,192cm
Miao R.T.,CHN,MIDDLE BLOCKER,30,205cm
Jovović,SRB,SETTER,33,197cm
Sanchez Pages,ARG,SETTER,28,175cm
Giraudo,ARG,SETTER,27,196cm
Magnin,FRA,MIDDLE BLOCKER,21,200cm
Miwa,JPN,MIDDLE BLOCKER,25,192cm
Firlej,POL,SETTER,28,188cm
Sanguinetti,ITA,MIDDLE BLOCKER,25,203cm
Javad,IRI,SETTER,27,204cm
Ariakhah,IRI,OPPOSITE SPIKER,19,205cm
Gomułka,POL,OPPOSITE SPIKER,23,204cm
Parkinson,NED,MIDDLE BLOCKER,33,203cm
Bak,NED,OUTSIDE HITTER,23,198cm
Gajović,SRB,MIDDLE BLOCKER,25,205cm
Holdaway,USA,MIDDLE BLOCKER,28,201cm
Berkhout,NED,SETTER,25,198cm
Rowan,USA,SETTER,22,201cm
Gasman,USA,MIDDLE BLOCKER,28,208cm
Conde,ARG,OUTSIDE HITTER,20,193cm
Herr,CAN,SETTER,31,192cm
Najdič,SLO,SETTER,19,193cm
Wang H.B.,CHN,SETTER,26,188cm
Palev,BUL,SETTER,22,188cm
Burggräf,GER,SETTER,26,184cm
Grozer,GER,OPPOSITE SPIKER,40,200cm
Pajenk,SLO,MIDDLE BLOCKER,39,203cm
Salazar,ARG,MIDDLE BLOCKER,21,202cm
Oya,JPN,SETTER,30,178cm
Tümer,TUR,MIDDLE BLOCKER,24,204cm
Cortesia,ITA,MIDDLE BLOCKER,26,198cm
Isaacson,USA,SETTER,26,187cm
Matheus G.,BRA,SETTER,28,185cm
