Player Name,Team,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match
Bayram,TUR,11,4,6,1.83
Petkov,BUL,5,1,6,0.42
Palev,BUL,11,8,6,0.92
Pace,ITA,11,1,1,1.00
Rowan,USA,11,6,4,1.38
Gomez,ARG,11,12,11,1.10
Saadat,IRI,11,7,9,0.92
Daneshdoust,IRI,11,7,6,0.92
Herr,CAN,11,7,17,0.92
Elgert,CAN,11,18,35,0.92
Pampushko,UKR,11,1,0,1.38
Sbertoli,ITA,11,14,9,1.00
Ishikawa,JPN,11,10,12,2.75
Poręba,POL,10,10,2,0.83
Synytsia,UKR,10,4,8,1.25
Matheus G.,BRA,10,8,8,0.67
Peter,GER,10,5,5,0.83
Camino,CUB,10,18,21,0.77
Matić,TUR,10,3,11,0.91
Galassi,ITA,10,3,20,0.91
Rao S.H.,CHN,9,6,7,0.69
Soshi,JPN,9,4,2,1.12
Knigge,USA,9,2,14,0.75
Gueye,FRA,9,9,4,0.69
Adriano,BRA,9,6,4,0.60
Haghparast,IRI,9,1,1,0.75
Szymura,POL,8,6,7,2.00
Jakubiszak,POL,8,5,11,0.57
Meijs,NED,8,9,6,0.67
Yamazaki,JPN,8,3,7,0.89
Sato,JPN,8,5,17,0.62
Atanasov,BUL,8,4,8,0.67
Duflos Rossi,FRA,8,3,6,1.00
Burggräf,GER,8,6,5,0.67
Urnaut,SLO,8,6,8,2.00
Bisset,CUB,8,1,4,0.62
Grozdanov,BUL,8,4,8,1.00
Ensing,USA,8,7,9,1.00
Bovolenta,ITA,8,3,3,2.00
Kochanowski,POL,8,2,5,1.14
Hatipoğlu,TUR,7,4,3,0.58
Isaacson,USA,7,6,17,0.88
Flexen,USA,7,1,5,0.88
Böhme,GER,7,2,8,0.58
Alonso,CUB,7,4,7,0.54
Martinez Gion,NED,7,7,4,0.88
Armoa Morel,ARG,7,10,3,0.88
Nasevich,POL,6,3,1,1.50
Hawryluk,POL,6,4,1,1.50
Bak,NED,6,4,3,0.50
Li Y.Z.,CHN,6,0,10,0.46
Zhang Z.J.,CHN,6,1,7,0.46
Perić,SRB,6,3,5,0.75
Gallego,ARG,6,3,11,0.50
Vinčić,SLO,6,3,5,0.75
Le Goff,FRA,6,1,1,1.20
Koval,UKR,5,1,5,0.42
Giraudo,ARG,5,3,8,0.42
Magnin,FRA,5,1,2,0.62
Kunstmann,GER,5,2,2,0.62
Schnitzer,CAN,5,2,2,0.50
Yevstratov,UKR,5,4,4,1.25
