Player Name,Team,Blocks,Blocking Errors,Rebounds,Blocks Per Match
Yüksel,TUR,0,3,3,0.00
Hatipoğlu,TUR,0,0,0,0
B. Bayraktar,TUR,0,0,0,0
Muhammed K.,TUR,0,0,0,0
Can Koç,TUR,0,0,0,0
Kaplan,TUR,0,0,0,0
Graven,GER,0,0,0,0
Reichert,GER,0,5,0,0.00
John,GER,0,2,0,0.00
Peter,GER,0,0,0,0
Krage,GER,0,0,0,0
Burggräf,GER,0,0,2,0.00
Mohwinkel,GER,0,0,0,0
Torwie,GER,0,0,0,0
Nachev,BUL,0,0,0,0
Tatarov,BUL,0,0,0,0
Zhelev,BUL,0,0,0,0
Antov,BUL,0,0,0,0
Palev,BUL,0,0,0,0
Dobrev,BUL,0,0,0,0
D. Kolev,BUL,0,0,0,0
Keemink,NED,0,1,2,0.00
Meijs,NED,0,0,1,0.00
Jorna,NED,0,0,0,0
Klok,NED,0,0,0,0
Wijkstra,NED,0,0,0,0
Wiltenburg,NED,0,0,0,0
Sulaiman,QAT,0,0,0,0
Waleed,QAT,0,0,3,0.00
Nikola,QAT,0,4,6,0.00
Naji,QAT,0,0,0,0
Mahdi,QAT,0,0,0,0
Marovt,SLO,0,0,0,0
Štalekar,SLO,0,2,0,0.00
Okroglič,SLO,0,0,0,0
Kovačič,SLO,0,0,0,0
Urnaut,SLO,0,0,0,0
Kržič,SLO,0,0,0,0
Ibarra,CHI,0,0,2,0.00
Parraguirre,CHI,0,4,8,0.00
Albornoz,CHI,0,1,0,0.00
Bonacic,CHI,0,0,0,0
Mardones,CHI,0,1,0,0.00
Castillo,CHI,0,0,0,0
Bravo,CHI,0,0,0,0
Banda,CHI,0,4,1,0.00
Popiwczak,POL,0,0,0,0
Szalpuk,POL,0,2,0,0.00
Granieczny,POL,0,0,0,0
Nowak J.,POL,0,0,2,0.00
Firlej,POL,0,0,0,0
Constantin,ROU,0,1,0,0.00
Balean,ROU,0,9,5,0.00
Kosinski,ROU,0,0,0,0
Bala,ROU,0,6,1,0.00
Butnaru,ROU,0,0,0,0
Kantor,ROU,0,0,0,0
Lupu,ROU,0,3,3,0.00
Ionescu,ROU,0,0,1,0.00
Sanchez Pages,ARG,0,0,1,0.00
Danani,ARG,0,0,0,0
Armoa Morel,ARG,0,0,0,0
De Cecco,ARG,0,3,4,0.00
Luengas,ARG,0,0,0,0
Giraudo,ARG,0,0,0,0
Tervaportti,FIN,0,0,1,0.00
Köykkä,FIN,0,0,0,0
Haapaniemi,FIN,0,1,1,0.00
Jokela,FIN,0,1,6,0.00
Breilin,FIN,0,0,0,0
Kaunisto,FIN,0,0,0,0
Saadat,IRI,0,1,0,0.00
Daneshdoust,IRI,0,1,0,0.00
Hazrat,IRI,0,0,0,0
Esfandiar,IRI,0,0,0,0
A. Ramezani,IRI,0,0,0,0
Arshia,IRI,0,12,2,0.00
Arman,IRI,0,0,0,0
Haghparast,IRI,0,1,0,0.00
Z. Osama,EGY,0,4,2,0.00
M. Reda,EGY,0,0,0,0
M. Ramadan,EGY,0,0,0,0
Asran,EGY,0,0,0,0
Deyo,EGY,0,2,1,0.00
Azab,EGY,0,0,0,0
A.Ellakany,EGY,0,0,0,0
Shchytkov,UKR,0,0,0,0
Boiko,UKR,0,0,0,0
Poluian,UKR,0,0,0,0
Kisiliuk,UKR,0,0,0,0
Pampushko,UKR,0,0,0,0
Todua,UKR,0,0,0,0
Uryvkin,UKR,0,0,0,0
Koval,UKR,0,0,0,0
D'Hulst,BEL,0,4,1,0.00
Plaskie,BEL,0,0,0,0
Desmet,BEL,0,0,0,0
V. Hoyweghen,BEL,0,0,0,0
Verwimp K.,BEL,0,0,0,0
Dermaux,BEL,0,1,0,0.00
Lantsoght,BEL,0,0,0,0
Perin,BEL,0,0,0,0
Nikolić,SRB,0,0,0,0
Negic,SRB,0,0,0,0
Mašulović V.,SRB,0,0,0,0
Ivović,SRB,0,0,0,0
