Player Name,Team,Position,positional_rating,rating_att,att_eff,att_vol,att_raw,rating_blk,blk_eff,blk_vol,blk_raw,rating_serv,serv_eff,serv_vol,serv_raw,rating_set,set_eff,set_vol,set_raw,rating_def,def_eff,def_vol,def_raw,rating_recv,recv_eff,recv_vol,recv_raw
Martinez Franchi,ARG,LIBERO,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.88,0.96,1.22,26.57,0.21,0.44,0.17
Martinez Gion,NED,OUTSIDE HITTER,10.04,5.65,0.5,0.12,0.05,6.22,0.23,0.12,0.04,0.0,0.0,0.0,0.0,0.12,0.5,0.0,0.0,0.0,0.0,0.1,0.0,9.67,0.28,0.17,0.06
Masso,CUB,OPPOSITE SPIKER,86.22,58.01,0.81,0.68,0.56,62.71,0.27,0.7,0.37,25.16,0.11,0.41,0.1,0.24,0.13,0.01,0.0,31.18,1.16,0.45,0.38,0.52,0.2,0.02,0.0
Matheus,BRA,MIDDLE BLOCKER,14.78,4.9,0.86,0.08,0.05,12.28,0.2,0.22,0.07,13.75,0.13,0.22,0.06,0.0,0.0,0.0,0.0,0.77,0.4,0.04,0.01,0.0,0.0,0.0,0.0
Matheus G.,BRA,SETTER,4.3,0.0,0.0,0.0,0.0,3.28,0.38,0.06,0.02,0.0,0.0,0.0,0.0,4.07,0.25,0.09,0.03,1.61,0.25,0.07,0.02,0.0,0.0,0.0,0.0
Matin,IRI,MIDDLE BLOCKER,4.16,9.96,2.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Matić,TUR,MIDDLE BLOCKER,29.24,10.96,1.05,0.15,0.11,31.15,0.21,0.44,0.18,3.79,0.05,0.12,0.02,0.0,0.0,0.0,0.0,3.49,0.64,0.1,0.04,0.28,0.2,0.01,0.0
Mašulović N.,SRB,MIDDLE BLOCKER,40.5,22.84,1.62,0.23,0.22,40.74,0.21,0.54,0.24,0.0,0.0,0.0,0.0,0.52,0.3,0.01,0.0,3.78,0.57,0.11,0.05,0.0,0.0,0.01,0.0
Mašulović V.,SRB,OUTSIDE HITTER,46.01,41.68,0.78,0.52,0.4,13.65,0.16,0.25,0.08,4.52,0.04,0.15,0.02,0.0,0.0,0.0,0.0,11.29,0.42,0.28,0.14,31.56,0.16,0.57,0.2
McCarthy,CAN,MIDDLE BLOCKER,71.17,34.7,1.57,0.33,0.34,66.97,0.23,0.77,0.39,21.44,0.09,0.4,0.09,0.26,0.17,0.01,0.0,8.31,0.69,0.19,0.1,3.49,0.28,0.07,0.02
