Player Name,Team,Position,Age,Height,Impact,Attacking Rating,Blocking Rating,Serving Rating,Setting Rating,Defense Rating,Receiving Rating,Running Sets,Setting Errors,Still Sets,Sets Per Match,Successful Receives,Receiving Errors,Service Receptions,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Rebounds,Blocks Per Match,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Briggs,USA,LIBERO,24,182cm,40.03,0.0,0.0,0.0,0.39,21.86,29.79,4,1,18,0.5,25,5,44,3.12,0,0,0,0.0,0,0,0,0.0,26,14,12,3.25,0,0,0,0.0
Brizard,FRA,SETTER,31,196cm,100.0,3.6,3.3,75.3,90.77,14.75,0.0,271,2,278,30.11,0,0,3,0.0,15,26,63,1.67,3,17,20,0.33,23,10,16,2.56,10,5,6,1.11
Burggräf,GER,SETTER,26,184cm,3.42,0.0,0.77,3.17,2.32,1.94,0.0,25,1,102,2.08,0,0,0,0.0,2,5,25,0.17,1,2,2,0.08,8,6,5,0.67,1,0,0,0.08
Böhme,GER,OPPOSITE SPIKER,28,203cm,6.66,5.75,0.46,7.46,0.0,1.93,0.54,0,0,3,0.0,1,0,1,0.08,2,7,6,0.17,1,6,11,0.08,7,2,8,0.58,21,6,21,1.75
Camino,CUB,LIBERO,22,186cm,5.15,0.0,0.0,0.0,0.0,0.0,6.66,0,0,7,0.0,26,18,121,2.0,0,0,0,0.0,0,0,0,0.0,10,18,21,0.77,0,0,0,0.0
Can Koç,TUR,OPPOSITE SPIKER,22,200cm,15.88,0.0,29.81,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,0,1.0,0,0,0,0.0,0,0,1,0.0
Caneschi,ITA,MIDDLE BLOCKER,28,205cm,2.38,0.0,3.17,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0,0.0,0,2,1,0.0,1,4,1,0.25,0,0,0,0.0,1,0,0,0.25
Canham,CAN,OPPOSITE SPIKER,25,194cm,16.04,18.47,2.69,4.53,0.0,1.59,0.0,0,0,1,0.0,0,0,2,0.0,1,10,14,0.25,1,4,4,0.25,3,2,6,0.75,17,3,16,4.25
Carle,FRA,OUTSIDE HITTER,29,195cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,5,6,0.0,0,0,0,0.0,1,1,0,0.25,0,0,0,0.0
Chaboissant,FRA,SETTER,22,189cm,8.57,0.38,3.73,0.0,8.66,0.0,0.0,21,0,50,5.25,0,0,1,0.0,0,4,11,0.0,1,3,0,0.25,2,3,6,0.5,1,0,3,0.25
Champlin,USA,OUTSIDE HITTER,23,191cm,21.49,21.11,4.8,3.65,0.23,9.06,11.72,4,0,20,0.33,24,6,88,2.0,3,18,60,0.25,4,8,9,0.33,22,17,7,1.83,60,12,62,5.0
Chelenyak,UKR,MIDDLE BLOCKER,20,200cm,0.34,0.0,0.0,1.35,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,1,0,13,0.08,0,1,0,0.0,1,1,1,0.08,0,1,1,0.0
Chinenyeze,FRA,MIDDLE BLOCKER,27,204cm,11.99,27.06,0.92,0.0,0.0,0.0,0.0,0,0,3,0.0,0,0,2,0.0,0,4,22,0.0,1,6,5,0.12,5,0,0,0.62,21,3,3,2.62
Chizoba,BRA,OPPOSITE SPIKER,28,200cm,3.13,0.98,0.82,7.51,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,8,0.2,1,6,2,0.1,1,1,0,0.1,6,3,11,0.6
Clevenot,FRA,OUTSIDE HITTER,31,199cm,73.87,60.92,37.55,18.19,0.02,27.24,39.63,1,1,39,0.08,58,15,126,4.46,11,19,143,0.85,19,29,25,1.46,50,20,30,3.85,147,37,121,11.31
Concepcion,CUB,MIDDLE BLOCKER,27,202cm,76.36,38.03,74.78,14.84,0.0,7.11,0.0,0,0,9,0.0,1,1,12,0.08,9,23,112,0.69,33,58,46,2.54,19,6,16,1.46,78,18,37,6.0
Conde,ARG,OUTSIDE HITTER,20,193cm,0.73,0.0,2.53,0.0,0.0,0.0,0.0,0,0,3,0.0,2,2,21,0.17,0,6,7,0.0,2,1,3,0.17,3,5,3,0.25,3,5,8,0.25
Cortesia,ITA,MIDDLE BLOCKER,26,198cm,0.92,0.47,0.96,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5,0.0,1,6,4,0.12,0,0,1,0.0,2,1,2,0.25
Currie,CAN,LIBERO,25,175cm,28.65,0.0,0.0,0.0,0.06,0.0,37.02,2,0,40,0.17,52,13,122,4.33,0,0,0,0.0,0,0,0,0.0,45,48,40,3.75,0,0,0,0.0
Czunkiewicz,POL,LIBERO,28,183cm,9.95,0.0,0.0,0.0,0.0,6.45,6.41,0,4,19,0.0,11,4,47,1.38,0,0,0,0.0,0,0,0,0.0,20,18,18,2.5,0,0,0,0.0
D. Dimitrov,BUL,OPPOSITE SPIKER,24,208cm,21.2,8.52,25.35,0.0,0.24,9.11,0.0,1,0,2,0.25,0,0,0,0.0,0,3,14,0.0,4,5,3,1.0,5,0,2,1.25,9,3,7,2.25
D. Kolev,BUL,LIBERO,23,176cm,18.62,0.0,0.0,0.0,0.0,24.07,0.0,0,0,3,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,14,6,8,3.5,0,0,0,0.0
Dagostino,USA,LIBERO,30,175cm,3.47,0.0,0.0,0.0,0.0,0.0,4.49,0,1,34,0.0,10,5,54,1.25,0,0,0,0.0,0,0,0,0.0,16,21,10,2.0,0,0,0,0.0
Danani,ARG,LIBERO,29,176cm,100.0,0.0,0.0,0.0,0.07,75.51,53.76,1,0,36,0.25,25,6,68,6.25,0,0,0,0.0,0,0,0,0.0,36,19,21,9.0,0,0,0,0.0
Daneshdoust,IRI,OUTSIDE HITTER,25,192cm,7.65,7.83,8.44,2.29,0.27,3.6,0.0,3,0,4,0.25,7,10,55,0.58,2,0,43,0.17,5,8,1,0.42,11,7,6,0.92,23,5,17,1.92
Darlan,BRA,OPPOSITE SPIKER,23,192cm,51.13,51.44,4.23,43.25,0.0,4.59,0.0,0,0,5,0.0,0,0,1,0.0,15,26,62,1.0,5,19,12,0.33,19,13,14,1.27,122,39,58,8.13
Diaz,ARG,OUTSIDE HITTER,19,193cm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,3,4,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0
Diez,FRA,LIBERO,27,183cm,70.71,0.0,0.0,0.0,0.14,45.94,45.44,4,0,53,0.31,60,13,114,4.62,0,0,0,0.0,0,0,0,0.0,72,29,38,5.54,0,0,0,0.0
Dilmenler,TUR,OPPOSITE SPIKER,21,203cm,10.8,8.56,5.35,1.58,0.0,8.16,0.0,0,0,5,0.0,0,0,0,0.0,1,8,18,0.11,3,6,3,0.33,13,7,5,1.44,27,14,30,3.0
