Player Name,Team,attacking_Kills,attacking_Attacking Errors,attacking_Attacking Attempts,attacking_Attacks Per Match,blocking_Blocks,blocking_Blocking Errors,blocking_Rebounds,blocking_Blocks Per Match,defense_Great Saves,defense_Defensive Errors,defense_Receptions,defense_Digs Per Match,receiving_Successful Receives,receiving_Receiving Errors,receiving_Service Receptions,receiving_Receives Per Match,serving_Aces,serving_Service Errors,serving_Service Attempts,serving_Serves Per Match,setting_Running Sets,setting_Setting Errors,setting_Still Sets,setting_Sets Per Match
Bračko,SLO,3,1,2,1.0,1,0,2,0.33,1,0,0,0.33,0,1,7,0.0,0,1,2,0.0,0,0,1,0.0
Brborić,SRB,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,1,0,0.0,0,0,0,0.0
Brehme,GER,23,4,7,7.67,5,8,10,1.67,1,2,0,0.33,0,0,1,0.0,0,11,29,1.33,1,0,1,0.33
Breilin,FIN,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Brizard,FRA,0,1,3,0.0,1,2,8,0.5,9,2,0,4.5,0,0,0,0.0,0,9,22,2.5,39,1,109,19.5
Buddin,PHI,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,5,0.5,0,0,1,0.0
Burggräf,GER,0,0,0,0.0,0,0,2,0.0,1,1,0,0.33,0,0,1,0.0,0,1,1,0.0,14,0,7,4.67
Butnaru,ROU,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.0,0,0,0,0.0
Caicedo,COL,0,0,0,0.0,0,0,0,0.0,0,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Camino,CUB,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Can Koç,TUR,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5,0.0,0,0,0,0.0
Castillo,CHI,0,0,0,0.0,0,0,0,0.0,2,1,0,0.67,4,0,10,1.33,0,0,0,0.0,0,0,6,0.0
Champlin,USA,23,5,16,7.67,3,4,5,1.0,17,5,0,5.67,5,3,32,1.67,0,6,32,1.67,1,0,4,0.33
Changseong,KOR,0,1,0,0.0,1,0,0,0.5,0,0,0,0.0,1,0,1,0.5,0,0,1,0.0,0,0,0,0.0
Chikhi,ALG,3,0,2,1.5,0,3,3,0.0,0,1,0,0.0,0,0,0,0.0,0,2,14,0.0,0,0,0,0.0
Chinenyeze,FRA,13,4,6,6.5,4,5,11,2.0,1,0,0,0.5,0,0,1,0.0,0,5,13,0.5,0,0,2,0.0
Chitigoi,ROU,17,9,20,5.67,6,3,6,2.0,4,5,0,1.33,9,1,39,3.0,0,3,18,0.67,0,0,12,0.0
Chizoba,BRA,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Christenson,USA,3,0,4,1.0,2,5,10,0.67,6,5,0,2.0,0,0,2,0.0,0,4,23,0.0,87,2,91,29.0
