Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency %,Total
10,Amaranto,COL,1,4,4,0.33,-33.33,9
10,Benavides,COL,1,5,7,0.33,-30.77,13
10,Soltan,LBA,1,1,0,0.33,0.00,2
10,Mergarejo,CUB,1,6,0,0.33,-71.43,7
10,Bisset,CUB,1,3,2,0.33,-33.33,6
10,Violas,POR,1,1,3,0.33,0.00,5
10,Tavares,POR,1,6,4,0.33,-45.45,11
10,Ishikawa,JPN,1,6,13,0.33,-25.00,20
10,Nishiyama,JPN,1,0,1,0.33,50.00,2
10,Eiro,JPN,1,2,1,0.33,-25.00,4
10,Sato,JPN,1,7,1,0.33,-66.67,9
10,Kirkit,TUR,1,0,0,0.33,100.00,1
10,Brand,GER,1,11,5,0.33,-58.82,17
10,S. Nikolov,BUL,1,11,10,0.33,-45.45,22
10,Berkhout,NED,1,2,4,0.33,-14.29,7
10,Koops,NED,1,4,5,0.33,-30.00,10
10,Y. Oughlaf,QAT,1,9,4,0.33,-57.14,14
10,M. Alkuwari,QAT,1,0,0,0.33,100.00,1
10,Renan,QAT,1,7,6,0.33,-42.86,14
10,Abdallah,QAT,1,4,3,0.33,-37.50,8
10,Bračko,SLO,1,0,2,0.33,33.33,3
10,Najdič,SLO,1,2,1,0.33,-25.00,4
10,Araya,CHI,1,1,1,0.33,0.00,3
10,Jadue,CHI,1,2,0,0.33,-33.33,3
10,Valenzuela,CHI,1,8,9,0.33,-38.89,18
10,Semeniuk,POL,1,3,5,0.33,-22.22,9
10,Jakubiszak,POL,1,1,2,0.33,0.00,4
10,Huber,POL,1,10,10,0.33,-42.86,21
10,Aciobanitei,ROU,1,2,4,0.33,-14.29,7
10,Gomez,ARG,1,1,0,0.50,0.00,2
10,Palonsky,ARG,1,9,4,0.50,-57.14,14
10,Zerba,ARG,1,2,3,0.50,-16.67,6
10,Ronkainen,FIN,1,2,5,0.50,-12.50,8
10,Lindqvist,FIN,1,0,0,0.50,100.00,1
10,Yousef,IRI,1,6,1,0.50,-62.50,8
10,A. Seoudy,EGY,1,5,2,0.50,-50.00,8
10,Elhossiny,EGY,1,4,8,0.50,-23.08,13
10,Seif Abed,EGY,1,5,5,0.50,-36.36,11
10,A.Said,EGY,1,9,2,0.50,-66.67,12
10,A.Elshahat,EGY,1,5,2,0.50,-50.00,8
10,D'heer,BEL,1,6,4,0.50,-45.45,11
10,Fafchamps,BEL,1,3,2,0.50,-33.33,6
10,Jovović,SRB,1,4,2,0.50,-42.86,7
10,Kujundžić,SRB,1,5,0,0.50,-66.67,6
10,Mašulović N.,SRB,1,1,5,0.50,0.00,7
10,Luburić,SRB,1,3,2,0.50,-33.33,6
10,Stefanović,SRB,1,6,4,0.50,-45.45,11
10,Zajicek,CZE,1,5,6,0.50,-33.33,12
10,Sotola,CZE,1,3,1,0.50,-40.00,5
10,Brizard,FRA,1,2,8,0.50,-9.09,11
10,Louati,FRA,1,3,2,0.50,-33.33,6
10,Faure,FRA,1,0,1,0.50,50.00,2
10,Huetz,FRA,1,3,0,0.50,-50.00,4
10,Changseong,KOR,1,0,0,0.50,100.00,1
10,Lucarelli,BRA,1,5,5,0.50,-36.36,11
10,Arthur,BRA,1,3,5,0.50,-22.22,9
10,Jiang C.,CHN,1,1,2,0.50,0.00,4
10,Li L.,CHN,1,1,3,0.50,0.00,5
10,Yu Y.T.,CHN,1,1,0,0.50,0.00,2
10,Giannelli,ITA,1,3,3,0.50,-28.57,7
10,Sbertoli,ITA,1,1,3,0.50,0.00,5
10,Rychlicki,ITA,1,5,2,0.50,-50.00,8
10,Bottolo,ITA,1,11,4,0.50,-62.50,16
10,Bouyoucef,ALG,1,1,5,0.50,0.00,7
10,Amrat,ALG,1,0,0,0.50,100.00,1
10,Hosni,ALG,1,2,1,0.50,-25.00,4
11,Ybanez,PHI,0,0,0,,,0
11,Lorenzo,PHI,0,0,0,,,0
11,Kalingking,PHI,0,0,0,,,0
